"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.497851889E0	-1.917600751E0	-8.369710445E-1	-1.221421242E0	2.422722233E0
1.502882827E0	-1.891951442E0	-1.004036546E0	-1.435919285E0	2.578649615E0
1.507913764E0	-1.838173628E0	-1.098237872E0	-1.334884644E0	2.523276783E0
1.512944702E0	-1.727777958E0	-1.219613671E0	-1.162855148E0	2.413484260E0
1.517975639E0	-1.527723193E0	-1.410978317E0	-1.177772522E0	2.389967799E0
1.523006577E0	-1.295312166E0	-1.600797176E0	-1.302595139E0	2.436624572E0
1.528037514E0	-1.054010153E0	-1.670194745E0	-1.217129707E0	2.319890647E0
1.533068452E0	-7.842180133E-1	-1.586781383E0	-8.742341995E-1	1.974122206E0
1.538099389E0	-5.142498016E-1	-1.432772994E0	-4.894104004E-1	1.599004018E0
1.543130327E0	-2.771834433E-1	-1.270743370E0	-2.488679886E-1	1.324218505E0
1.548161264E0	-1.159417778E-1	-1.172378421E0	-1.998367310E-1	1.194926097E0
1.553192202E0	-6.856310368E-2	-1.117977619E0	-3.417682648E-1	1.171059522E0
1.558223139E0	-1.491269469E-1	-1.092301607E0	-5.882921219E-1	1.249579636E0
1.563254077E0	-2.952699661E-1	-1.079962969E0	-8.724575043E-1	1.419396514E0
1.568285014E0	-4.830660820E-1	-1.098835707E0	-1.094158173E0	1.624184367E0
1.573315952E0	-7.748621106E-1	-1.171447396E0	-1.349301338E0	1.947643292E0
1.578346889E0	-1.127713799E0	-1.339376926E0	-1.642787457E0	2.400920572E0
1.583377827E0	-1.460640311E0	-1.524921894E0	-1.936496735E0	2.865113698E0
